carrier,reason_refund,credited_by
Chronopost,Chronopost - 23 euros,Wiretransfer
Chronopost,Damaged,Credit note
Chronopost,Label Not Used,Credit note
Chronopost,Late Delivery,"Credit note, line with discount"
Chronopost,Lost,Credit note
Chronopost,Shipment Destroyed,Credit note
Chronopost,Supplément domicile privé,Credit note
Chronopost,Traitement SAV complémentaire,Credit note
ColisPrive,Damaged,Overview provided by ColisPrive
ColisPrive,Late Delivery,Overview provided by ColisPrive
ColisPrive,Lost,Overview provided by ColisPrive
Colissimo,Damaged,Credit line
Colissimo,Doubled invoiced,Credit line
Colissimo,Late Delivery,Credit line
Colissimo,Lost,Credit line
UPS,Additionele afhandelingskosten,Credit line
UPS,Damaged,Wiretransfer
UPS,Discount Forgotten - Freight,Credit line
UPS,Groot Pakket,Credit line
UPS,Label Not Used,Credit line
UPS,Label Not Used - Adjustment,Credit line
UPS,Late Delivery,Credit line
UPS,Late Payment Surcharge Wrongly billed,Credit line
UPS,Lost,"Paper Check,Wiretransfer"
UPS,Lost - Per proposal agreement,"Paper Check,Wiretransfer"
UPS,Order Invoiced Several Times,Credit line
UPS,Shipment Cancelled,Credit line
UPS,Toeslag groot pakket,Credit line
UPS,Wrong residential surcharge,Credit line
Asendia,Late Delivery,Credit line
Asendia,Lost,Credit line
